Gap ID,Category,Gap/Question,Impact/Notes
G0101,Source Conflict,"A própria descrição do épico E01 diz que 'um robô detecta atendente de mesa ocioso' — mas RN-01 (Confirmed, fonte: ata do cliente) afirma que a ociosidade é declarada MANUALMENTE pelo atendente ou pelo coordenador via Slackbot, e que 'não há detecção automática'. São formulações incompatíveis dentro do próprio material da conta: uma implica lógica de detecção (presença, telemetria, tempo ocioso calculado), a outra implica apenas consumir um campo de status setado por gesto humano.","Se essa ambiguidade não for corrigida antes de handoff para design/backlog, a equipe de build pode escopar e construir lógica de detecção automática de ociosidade que o cliente já disse não existir — trabalho não pedido e potencialmente rejeitado na validação. Corrigir a redação do épico para 'robô consome a declaração manual de ociosidade' e confirmar que RN-01 é o texto que prevalece."
G0102,Potential Risk,"R-07 (inventário §6) diz que a antecipação proativa só é tentada quando a fila viva está vazia (RN-17) e que, se a fila raramente esvazia, o gatilho nunca dispara e o investimento não se realiza — mas não há nenhuma medição da frequência de fila vazia, nem tarefa de instrumentação prevista em nenhum artefato. O risco é estrutural ao case de negócio da Jornada 1, e está totalmente fora do radar de Perguntas Abertas do brief.","Sem medir a taxa de fila-vazia-no-momento-de-ociosidade antes de dimensionar o MVP, a Jornada 1 corre risco real de ser construída e ter adoção residual. Recomenda-se escopar uma etapa de instrumentação/medição como pré-requisito de Fase 0, não como nice-to-have pós-piloto."
G0103,Capability Gap,"RN-18 assume que a entrega do caso ao atendente ocioso é 'automática e automaticamente aceita' — sem gesto de aceitar ou recusar — e RN-08 assume que o encerramento pelo Slack fecha o caso, encerra a sessão e remove o status de ocioso 'num comando só'. A busca na base de conhecimento (service_cloud_3-27-2026.md, linhas 18783-44374) não confirma nem refuta esse modelo de push totalmente automático sem etapa de aceite.","Se o comportamento 'sem gesto de aceite' não for nativo na configuração padrão de fila do Omni-Channel, RN-18 e RN-08 representam automação customizada adicional (Flow/Apex), não apenas configuração — muda a complexidade de design e o T-shirt size do épico. Validar contra a documentação de admin do Omni-Channel antes de assumir como configuração pronta."
G0104,Logical Gap,"E-24 determina que indisponibilidade do gov.br, falha de autenticação, desistência do cidadão e timeout têm 'o mesmo destino' no fluxo — o desenho não preserva qual dessas quatro causas terminou o atendimento. Mas o escopo Tableau existe justamente para observabilidade, e a mitigação sugerida para R-08 é 'medir taxa de conclusão da autenticação no piloto' — o que exige distinguir essas causas.","Como especificado hoje, o caso encerrado não carrega o motivo da falha como dado estruturado, tornando impossível ao Tableau construir o funil de abandono que a mitigação de R-08 propõe medir. Decidir se E-24 grava o motivo em um campo de causa de encerramento ou precisa de ramos distintos — afeta E01 e o escopo do Tableau."
G0105,Missing Requirement,"RN-07 exige que todo 'não atendimento' seja registrado no sistema de agendamento para impedir disparo duplicado — mas o sistema de agendamento é uma API externa 'com lógica de seleção própria' que não pertence à conta. Não existe contrato de interface para esse caminho de escrita: endpoint, payload, autenticação, e comportamento em falha/idempotência.","Esse caminho de escrita de volta ao sistema de agendamento é uma integração de mão dupla sem dono nem contrato conhecido. Sem isso, RN-07 — mitigação declarada para R-03 — não é implementável como especificada; precisa entrar como pergunta bloqueante de arquitetura junto ao dono do sistema de agendamento (provavelmente Detran)."
G0106,Ambiguity,"RN-19 diz que numa transferência de atendimento o próximo atendente recebe o resumo 'atualizado com o atendimento em curso'. RN-05 diz que o resumo vem do agente de IA a partir do sistema de CRM legado. Não está claro se o resumo-na-transferência é (a) o mesmo resumo histórico reexecutado, ou (b) um resumo novo incorporando a conversa em andamento no Slack/WhatsApp, que ainda não está no sistema de CRM legado.","Se (b) for o caso, isso é uma capacidade de sumarização de conversa ao vivo fora do escopo Agentforce hoje descrito (que só cobre resumo de histórico). Precisa ser resolvido antes de sizing — muda o contrato do agente de resumo."
G0107,Missing Requirement,"A Jornada 1 é um fluxo citizen-facing sem atendente humano na oferta inicial, atingindo a base ampla e heterogênea de cidadãos do Poupatempo. A matriz de extração do inventário já registra 'nenhuma pesquisa com usuário, teste de usabilidade ou requisito de acessibilidade'. Esse MVP deveria incluir pesquisa de UX/validação de acessibilidade para o fluxo WhatsApp + gov.br antes do piloto, ou fica fora do escopo?","Sem essa validação, o risco de abandono na autenticação (R-08) pode ter causa real em usabilidade/acessibilidade, não apenas em nível de confiança gov.br exigido. Pergunta de escopo, não mandato — levar ao cliente."
G0108,Missing Requirement,"RN-01 e RN-18 juntas introduzem uma rotina nova e proativa para o atendente de mesa: declarar sua própria ociosidade via Slackbot e receber, sem gesto de aceite, um atendimento remoto por WhatsApp enquanto 'ocioso'. A matriz de extração já registra 'nada sobre CoE, gestão de mudança, treinamento ou plano de adoção'. Existe plano de gestão de mudança do lado do cliente para essa rotina, ou precisa entrar no escopo?","Sem gestão de mudança, o risco R-01 (ociosidade manual não confiável) tende a se agravar. Pergunta de escopo a levar ao cliente, não epic adicional a forçar."
G0201,Logical Gap,"J2 RN-08 gives the Slackbot a legitimate 'não sei' terminal state, but no equivalent terminal state exists for the escalation path itself: if a specialty channel (or its RN-04 general on-call fallback) is unstaffed and the citizen keeps waiting at the guichê, what does the flow surface to the atendente?","Without a defined 'give up' outcome, R-02 (unstaffed specialty channel) has no designed exit — the attendant is left improvising the kind of undocumented workaround the epic exists to replace. Needs a designed terminal state before build."
G0202,Missing Requirement,"J2 RN-04 routes an escalation with no dedicated specialty channel to a 'general on-call channel,' but there is no fallback defined for when that general channel is itself unstaffed — the second layer of the same coverage problem R-02 already flags for specialty channels.","RN-04 was presented as the exception handler for missing specialty coverage; if it has no exception handler of its own, the design has an unbounded failure mode at exactly the point meant to catch failures."
