Role ID,Role,Seniority,Location,Count,Side,Phases Active,Allocation,Allocation by Phase,Justification,Rationale,Comments,Suggested Count (opt-in),Count Source,Multi-disciplinary Note
PS-01,Program Manager,senior,onshore,1,ps,0-5,full,,"PM dedicado exigido por decisao de resourcing padrao do projeto (memory.json, 2026-09-21/22) — nao e gap, nem absorvido pelo time existente. Governanca do programa inteiro (6 fases) e coordenacao com stakeholders de setor publico.",,,,,
PS-02,Solution Architect,senior,onshore,1,ps,0-5,full,,Arquitetura de solucao atravessando Slack + Agentforce + MuleSoft + Data 360 — 4 produtos em escopo exigem um dono unico de coerencia arquitetural do inicio ao fim.,,,,,
PS-03,Technical Architect,senior,onshore,1,ps,1-5,full,,"E09 (MuleSoft, XL/Unknown) e o epico de maior risco tecnico do programa — camada de integracao com 5 sistemas-alvo (T7, Sistema Semantico, Atendimento, Biometria, gov.br) exige supervisao tecnica senior onshore continua.",,,,,
PS-04,Functional Consultant,senior,onshore,1,ps,1-3,full,,"Configuracao de posto de trabalho Slack + huddle/escalonamento (E01, E02, E04) — trabalho tatico do balcao que se beneficia de proximidade onshore com o atendente.",,,,,
PS-05,Functional Consultant,regular,offshore,1,ps,2-5,full,,"Configuracao Data 360/analitica (E03 sinal de capacidade, E10 modelo preditivo) — trabalho de config escalavel offshore, mesmo padrao do roster do DER.",,,,,
PS-06,Developer,senior,onshore,1,ps,1-4,full,,"Build de caminho critico com dado sensivel: E07 (validacao remota de documento, risco de LGPD mais alto que o huddle em texto) e E08 (primeiro fluxo agentico 24/7 do setor publico sem case LATAM) exigem um senior onshore no critical path.",,,,,
PS-07,Developer,regular,offshore,3,ps,1-5,full,,"Pod de build offshore escalado ao volume do programa — configuracao/build de topicos e acoes do Agentforce (E01, E06, E08) e suporte de build da camada MuleSoft (E09). Mesmo dimensionamento do pod offshore validado no DER para escopo Multi-Cloud/Medio comparavel.",,,,,
PS-08,QA,senior,onshore,1,ps,1-5,full,,"QA dedicado exigido por decisao de resourcing padrao do projeto (memory.json, 2026-09-21/22). Risco de LGPD/imagem de documento (E07) e guardrails de escalonamento humano genuino (E08) exigem lideranca de QA senior onshore, nao apenas execucao offshore.",,,,,
PS-09,QA,regular,offshore,2,ps,2-5,full,,"Pod de execucao de teste offshore escalado ao volume do programa (244 postos + 900 totens, rollout por onda) — mesmo padrao de dimensionamento do DER.",,,,,
PS-10,Change & Adoption,regular,onshore,1,ps,1-5,full,,"Curriculo de treinamento (E05), politica de canal e adocao incremental por atendente conforme novos canais entram (E06/E07/E08) — cobertura de adocao continua ate o go-live final.",,,,,
CL-01,Product Owner / Decision-maker,regular,onshore,1,client,0-5,quarter,,"GAP — owner de governanca de agentes de IA do lado Prodesp ainda nao nomeado (risco consolidado da Fase 0/1, ver 02-delivery-plan.md). Linha registrada para tornar o gap visivel no roster, nao para assumir que ja esta staffada.",,,,,
CL-02,Functional SME,regular,onshore,2,client,1-4,half,,"SMEs de processo de atendimento/balcao para validar huddle, contingencia e pre-atendimento digital (E02, E04, E06).",,,,,
CL-03,Functional SME,regular,onshore,1,client,3-4,quarter,,SME de biometria estadual/identidade federada gov.br — compliance LGPD sobre dado sensivel de cidadao cruzando E07/E08/E09.,,,,,
CL-04,Change & Adoption,regular,onshore,1,client,1-5,half,,Data steward/coordenador de treinamento do lado Prodesp para os 244 postos + 900 totens — dimensionamento real de licenciamento e rollout por onda dependem de um contraparte nomeado.,,,,,
CL-05,Technical Architect,regular,onshore,1,client,"0,3",quarter,,"Coordenacao tecnica com os 5 sistemas-alvo do MuleSoft (T7, Sistema Semantico, Atendimento, Biometria, Legado) — formalizar identidades/protocolos (G0901-G0905) e o bloqueador dominante da Fase 0/3.",,,,,
CL-06,QA,regular,onshore,1,client,2-5,quarter,,Amostra de UAT do lado Prodesp por posto/totem antes de cada onda de rollout.,,,,,
