Section,Name,Task-Level Band,Realized Band,Driving / Amplified,Human-Only / Evidence,Sources,Narrative
Headline,Blended project-level,~30-45%,~10-18%,,Assumed,[1]; [2]; [3]; [4]; [5]; [8],"task-level ~30-45% × fator de realização 0.30-0.40, antes da modulação por readiness."
Realization Factor,0.30-0.40,,,"Overlay regulatório LGPD/setor público (biometria estadual, identidade federada gov.br, PII de cidadã); Integração com sistemas legados de confiança Unknown (E09 XL, E03 M, E06 M); Conteúdo real de config/Agentforce (E01, E06, E08) puxando para o meio da faixa",,,"Puxado para a linha de indústria regulada em vez do mixed-enterprise puro: overlay LGPD/setor público explícito + risco de integração XL/Unknown em E09, parcialmente compensado por conteúdo real de config/Agentforce."
Readiness Signal,AI tooling posture,,,score 0/2,"Nenhuma evidência de discovery sobre postura de ferramentas de IA aprovadas para uso interno da Prodesp; owner de governança de agentes de IA do lado Prodesp ainda não identificado (gap consolidado em 9 gaps espalhados por 7 épicos, ver 01-solution.md).",,
Readiness Signal,Delivery velocity / speed bias,,,score 0/2,"Agência de setor público, coordenação entre 5 sistemas-alvo (T7, Sistema Semântico, Atendimento, Biometria, Legado) e overlay regulatório que já adiciona +15% ao teto do benchmark — sinal de ritmo empresarial padrão a lento, não fast-moving.",,
Readiness Signal,Data & environment hygiene,,,score 1/2,"Fundação Salesforce bem especificada em E01 (Slack + Canvas + Knowledge), mas identidades/protocolos dos 5 sistemas-alvo do MuleSoft (G0901-G0905) e a fonte do sinal de capacidade por posto (G0315) permanecem não confirmados — mistura de higiene alta no core e baixa nas integrações.",,
Readiness Signal,Legal / security / compliance posture,,,score 0/2,"Overlay regulatório LGPD/setor público explícito (biometria estadual, identidade federada gov.br, PII de cidadã cruzando E07/E08/E09); nenhuma política de tratamento de dados por IA registrada nas fontes de discovery.",,
Readiness Scenario,(current) Low readiness,,~8-12%,score range 0-2,Nomear o owner de governança de agentes de IA do lado Prodesp; Confirmar identidades/protocolos dos 5 sistemas-alvo do MuleSoft (G0901-G0905); Publicar postura/política de uso de ferramentas de IA,,"Estado atual do programa — piso da faixa reduzido em ~20%: governança de IA não nomeada, ritmo de decisão de setor público e integrações ainda não confirmadas mantêm o ganho modesto."
Readiness Scenario,Mid readiness,,~12-16%,score range 3-5,Formalizar política de tratamento de dados por IA cobrindo LGPD/biometria; Confirmar fonte do sinal de capacidade por posto (G0315),,"Com a governança nomeada e as integrações formalizadas na Fase 0, o programa capta o meio da faixa de forma defensável."
Readiness Scenario,High readiness,,~20-24%,score range 6-8,,,Condições favorecem o topo da faixa apenas se o setor público remover as travas regulatórias e de governança de IA — cenário não observado hoje neste programa.
Category,Technical Engineering & QA,~20-35%,~7-13%,"Create Code (realistic enterprise/legacy); Analyze Code & Fix Defects | epics: E09, E03, E06, E08",,[1]; [4]; [5]; [8],"A integração MuleSoft de E09 (XL, 5 sistemas-alvo) e os workflows de E03/E06 domin am o esforço técnico; ganho tratado pela linha enterprise/legacy porque os sistemas de destino são legados, não greenfield."
Category,Analysis & Design,~30-50%,~10-18%,"Discovery Preparation; Agent Topic & Action Design | epics: E01, E06, E08",,[2]; [11],"O desenho de tópicos/ações do Agentforce em E01/E06/E08 é o trabalho de design mais repetido do programa, puxando esta categoria para o meio-alto da faixa."
Category,Documentation & Knowledge Management,~35-55%,~12-20%,Generate/Update Documentation; Training Curriculum Drafting | epics: E05,,[7]; [11],"E05 concentra currículo de treinamento e política de canal — trabalho de documentação denso que historicamente captura o ganho mais alto de qualquer categoria, mesmo sob o overlay regulatório."
Category,Project Management & Operations,~20-35%,~7-13%,"Status Reporting & Coordination | epics: E09, E05",,[7]; [11],Coordenação entre Prodesp/Slack/MuleSoft/Data 360 e potenciais donos externos dos 5 sistemas-alvo mantém esta categoria no meio da faixa — trabalho de alinhamento multi-organização resiste mais à automação.
Human Barrier,Project Pulse Reports,,~0%,,"Trabalho de construção de confiança que a IA pode resumir, mas não facilitar.",,
Human Barrier,Stakeholder Alignment,,~0%,,"Negociação humano-a-humano; a IA rascunha posições, pessoas decidem.",,
Human Barrier,Conflict Resolution,,~0%,,Julgamento humano.,,
Human Barrier,"Coordenação com os 5 donos de sistema externos de E09 (T7, Sistema Semântico, Atendimento, Biometria, Legado)",,~0%,,"Negociação de identidade/protocolo entre organizações — depende de relacionamento e autoridade, não de ferramenta.",,
Human Barrier,Revisão jurídica/compliance LGPD sobre biometria e identidade federada gov.br,,~0%,,Sign-off regulatório em dado sensível de cidadã permanece humano por desenho.,,
